relevance,sentence
2,"French inventor Nicolas-Joseph Cugnot built the first steam-powered road vehicle in 1769, while French-born Swiss inventor François Isaac de Rivaz designed and constructed the first internal combustion-powered automobile in 1808."
2,"The modern car—a practical, marketable automobile for everyday use—was invented in 1886, when German inventor Carl Benz patented his Benz Patent-Motorwagen."
1,"Commercial cars became widely available during the 20th century."
1,"One of the first cars affordable by the masses was the 1908 Model T, an American car manufactured by the Ford Motor Company."
1,"In Europe and other parts of the world, demand for automobiles did not increase until after World War II."
0,"A car, or an automobile, is a motor vehicle with wheels."
0,"Most definitions of cars state that they run primarily on roads, seat one to eight people, have four wheels, and mainly transport people, not cargo."
0,"Cars were rapidly adopted in the US, where they replaced horse-drawn carriages."
0,"The car is considered an essential part of the developed economy."
0,"Cars have controls for driving, parking, passenger comfort, and a variety of lamps."
0,"Over the decades, additional features and controls have been added to vehicles, making them progressively more complex."
0,"These include rear-reversing cameras, air conditioning, navigation systems, and in-car entertainment."
0,"Most cars in use in the early 2020s are propelled by an internal combustion engine, fueled by the combustion of fossil fuels."
0,"Electric cars, which were invented early in the history of the car, became commercially available in the 2000s and are predicted to cost less to buy than petrol-driven cars before 2025."
0,"The transition from fossil fuel-powered cars to electric cars features prominently in most climate change mitigation scenarios, such as Project Drawdown's 100 actionable solutions for climate change."
0,"There are costs and benefits to car use."
0,"The costs to the individual include acquiring the vehicle, interest payments (if the car is financed), repairs and maintenance, fuel, depreciation, driving time, parking fees, taxes, and insurance."
0,"The costs to society include maintaining roads, land use, road congestion, air pollution, noise pollution, public health, and disposing of the vehicle at the end of its life."
0,"Traffic collisions are the largest cause of injury-related deaths worldwide."
0,"Personal benefits include on-demand transportation, mobility, independence, and convenience."
