relevance,sentence
2,"Sicily (Italian: Sicilia  ⓘ; Sicilian: Sicilia  ⓘ) is the largest and most populous island in the Mediterranean Sea and one of the 20 regions of Italy."
0,"It is one of the five Italian autonomous regions and is officially referred to as Regione Siciliana.'
0,"The island has 4.8 million inhabitants."
0,"Its capital city is Palermo."
0,"It is named after the Sicels, who inhabited the eastern part of the island during the Iron Age. "
2,"Sicily is located in the central Mediterranean Sea, south of the Italian Peninsula in continental Europe; it is separated from Calabria by the Strait of Messina."
0,"Its most prominent landmark is Mount Etna, the tallest active volcano in Europe, and is one of the most active in the world, currently 3,357\xa0m (11,014\xa0ft) high."
0,"The island has a typical Mediterranean climate."
0,"The earliest archaeological record of human activity on the island is from around 14,000 BC."
0,"By around 750 BC, Sicily had three Phoenician and a dozen Greek colonies."
0,"The region thus became one of the centers of Magna Graecia, with the foundation along its coasts of many Greek city-states (póleis)."
0,"The Sicilian Wars affected the island between 580 and 265 BC and the Punic Wars, between 264 and 146 BC, were fought between Rome and Carthage."
0,"The Roman province of Sicilia ended with the fall of the Roman Empire in the 5th century AD."
0,"Sicily was ruled during the Early Middle Ages by the Vandals, the Ostrogoths, the Byzantine Empire, and the Emirate of Sicily."
0,"The Norman conquest of southern Italy led to the creation of the County of Sicily in 1071, that was succeeded by Kingdom of Sicily, a state that existed from 1130 until 1816."
0,"In 1816, it was unified under the House of Bourbon with the Kingdom of Naples, also officially known as the Kingdom of Sicily, as the Kingdom of the Two Sicilies."
1,"The island officially became part of Italy in 1860 following the Expedition of the Thousand, a revolt led by Giuseppe Garibaldi during the unification of Italy, and a plebiscite."
0,"Sicily was given special status as an autonomous administrative division on 15 May 1946, 18 days before the 1946 Italian institutional referendum. "
0,"Sicily has a rich and unique culture in arts, music, literature, cuisine, and architecture."
0,"Sicily has a roughly triangular shape, earning it the name Trinacria."
1,"To the north-east, it is separated from Calabria and the rest of the Italian mainland by the Strait of Messina, about 3\xa0km (1.9\xa0mi) wide in the north, and about 16\xa0km (9.9\xa0mi) wide in the southern part."
0,"The northern and southern coasts are each about 280\xa0km (170\xa0mi) long measured as a straight line, while the eastern coast measures around 180\xa0km (110\xa0mi); total coast length is estimated at 1,484\xa0km (922\xa0mi)."
