relevance,sentence
2,"The Colosseum (/ˌkɒləˈsiːəm/ KOL-ə-SEE-əm; Italian: Colosseo', '[kolosˈsɛːo]) is an elliptical amphitheatre in the centre of the city of Rome, Italy, just east of the Roman Forum." 
1,"It is one of Rome\'s most popular tourist attractions and has links to the Catholic Church, as each Good Friday the Pope leads a torchlit 'Way of the Cross' procession that starts in the area around the Colosseum."
0,"It is the largest ancient amphitheatre ever built, and is still the largest standing amphitheatre in the world, despite its age."
0,"Construction began under the emperor Vespasian (r.\u200969–79\xa0AD) in 72 and was completed in AD 80 under his successor and heir, Titus (r.\u200979–81)."
0,"Further modifications were made during the reign of Domitian (r.\u200981–96)."
0,"The three emperors who were patrons of the work are known as the Flavian dynasty, and the amphitheatre was named the Flavian Amphitheatre (Latin: Amphitheatrum Flavium; Italian: Anfiteatro Flavio [aɱfiteˈaːtro ˈflaːvjo]) by later classicists and archaeologists for its association with their family name (Flavius). "
0,"The Colosseum is built of travertine limestone, tuff (volcanic rock), and brick-faced concrete."
0,"It could hold an estimated 50,000 to 80,000 spectators at various points in its history, having an average audience of some 65,000; it was used for gladiatorial contests and public spectacles including animal hunts, executions, re-enactments of famous battles, and dramas based on Roman mythology, and briefly mock sea battles."
0,"The building ceased to be used for entertainment in the early medieval era."
0,"It was later reused for such purposes as housing, workshops, quarters for a religious order, a fortress, a quarry, and a Christian shrine. "
0,"Although substantially ruined by earthquakes and stone robbers taking spolia, the Colosseum is still a renowned symbol of Imperial Rome and was listed as one of the New 7 Wonders of the World."
0,"The Colosseum is depicted on the Italian version of the 5 euro cent coin. "
0,"Originally, the building's Latin name was simply amphitheatrum, 'amphitheatre'.",
0,"Though the modern name Flavian Amphitheatre (Latin: Amphitheatrum Flavium) is often used, there is no evidence it was used in classical antiquity."
0,"This name refers to the patronage of the Flavian dynasty, during whose reigns the building was constructed, but the structure is better known as the Colosseum."
0,"In antiquity, Romans may have referred to the Colosseum by the unofficial name Amphitheatrum Caesareum (with Caesareum an adjective pertaining to the title Caesar), but this name may have been strictly poetic as it was not exclusive to the Colosseum; Vespasian and Titus, builders of the Colosseum, also constructed a Flavian Amphitheatre in Puteoli (modern Pozzuoli)."
0,"The name Colosseum is believed to be derived from a colossal statue of Nero on the model of the Colossus of Rhodes."
0,"The giant bronze sculpture of Nero as a solar deity was moved to its position beside the amphitheatre by the emperor Hadrian (r.\u2009117–138)."
0,"The word colosseum is a neuter Latin noun formed from the adjective colosseus, meaning 'gigantic' or 'colossean'."
0,"By the year 1000 the Latin name "Colosseum" had been coined to refer to the amphitheatre from the nearby 'Colossus Solis'."
