relevance,sentence
2,"Alexander Graham Bell (/ˈɡreɪ.əm/, born Alexander Bell; March 3, 1847 – August 2, 1922) was a  Scottish-born[N 1] Canadian-American inventor, scientist and engineer who is credited with patenting the first practical telephone."
0,"He also co-founded the American Telephone and Telegraph Company (AT&T) in 1885.", 
0,"Bell's father, grandfather, and brother had all been associated with work on elocution and speech, and both his mother and wife were deaf; profoundly influencing Bell's life's work."
2,"His research on hearing and speech further led him to experiment with hearing devices which eventually culminated in Bell being awarded the first U.S. patent for the telephone, on March 7, 1876."
0,"Bell considered his invention an intrusion on his real work as a scientist and refused to have a telephone in his study." 
0,"Many other inventions marked Bell's later life, including groundbreaking work in optical telecommunications, hydrofoils, and aeronautics."
0,"Bell also had a strong influence on the National Geographic Society and its magazine while serving as the second president from January 7, 1898, until 1903."
0,"Beyond his work in engineering, Bell had a deep interest in the emerging science of heredity." 
0,"His work in this area has been called 'the soundest, and most useful study of human heredity proposed in nineteenth-century America...'" 
0,"Bell's most notable contribution to basic science, as distinct from invention." 
0," Bell was born in Edinburgh, on March 3, 1847." 
0,"The family home was at South Charlotte Street, and has a stone inscription marking it as Bell's birthplace."
0,"He had two brothers: Melville James Bell (1845–1870) and Edward Charles Bell (1848–1867), both of whom would die of tuberculosis."
0,"His father was Alexander Melville Bell, a phonetician, and his mother was Eliza Grace Bell (née Symonds)."
0,"Born as just 'Alexander Bell', at age 10, he made a plea to his father to have a middle name like his two brothers."
0,"For his 11th birthday, his father acquiesced and allowed him to adopt the name 'Graham', chosen out of respect for Alexander Graham, a Canadian being treated by his father who had become a family friend."
0,"To close relatives and friends he remained "Aleck"."
0,"Bell and his siblings attended a Presbyterian Church in their youth." 
0,"As a child, Bell displayed a curiosity about his world; he gathered botanical specimens and ran experiments at an early age."
0,"His best friend was Ben Herdman, a neighbour whose family operated a flour mill."
